keyword,volume,kd,cpc,competition,intent,intent_secondary,seed
portable office,590,0,8.62,HIGH,transactional,,office pod
serta office chair,590,0,0.68,HIGH,transactional,,office pod
office furniture edmonton,590,0,4.04,HIGH,navigational,,office pod
brown leather office chair,480,0,3.2,HIGH,transactional,,office pod
office dividers,480,0,7.27,HIGH,transactional,,office pod
used office furniture toronto,480,19,2.75,HIGH,commercial,transactional,office pod
office chair on sale,480,0,1.25,HIGH,transactional,,office pod
best home office chair,480,20,3.71,HIGH,commercial,,office pod
shared office space,480,13,11.57,LOW,commercial,informational,office pod
office desk chair,480,0,3.03,HIGH,transactional,,office pod
folding office chair,480,0,0.95,HIGH,transactional,,office pod
regus office space,480,0,9.44,MEDIUM,navigational,,office pod
office chairs vancouver,480,0,3.9,HIGH,navigational,commercial,office pod
evergreen office spaces,480,1,0.93,LOW,navigational,,office pod
ergonomic office chair canada,480,1,3.96,HIGH,navigational,,office pod
source office furniture vancouver,480,0,0.92,MEDIUM,navigational,,office pod
office ideas,480,28,1.12,HIGH,informational,commercial,office pod
stones office,480,0,4.25,LOW,navigational,,office pod
office rug,480,0,1.29,HIGH,transactional,,office pod
home office setup,480,13,1.1,HIGH,informational,,office pod
meme office space,480,0,,LOW,navigational,informational,office pod
pam office,480,33,,LOW,navigational,,office pod
vancouver office chairs,480,0,3.9,HIGH,navigational,"transactional,commercial",office pod
murphy bed with desk canada,480,0,1.24,HIGH,navigational,transactional,office pod
home office desk canada,480,0,2.53,HIGH,navigational,,office pod
office lamp,480,0,1.08,HIGH,transactional,,office pod
milton office space,480,11,11.21,LOW,navigational,,office pod
small office ideas for home,480,28,0.65,HIGH,informational,,office pod
monarch office supply,480,0,12.77,MEDIUM,navigational,,office pod
jim office,480,30,,LOW,navigational,,office pod
small home office ideas,480,22,0.65,HIGH,informational,,office pod
small office chair,480,2,0.85,HIGH,transactional,,office pod
office organizer,480,0,1.51,HIGH,transactional,commercial,office pod
ontario return to office,480,5,,LOW,informational,navigational,office pod
office furniture toronto,480,0,9.7,HIGH,navigational,commercial,office pod
fun office pools,480,44,,LOW,informational,"navigational,commercial",office pod
office space memes,480,0,,LOW,informational,,office pod
office chair vancouver,480,0,3.9,HIGH,navigational,transactional,office pod
stone's office supply,480,0,4.25,LOW,navigational,"transactional,commercial",office pod
office space meme,480,0,,LOW,informational,,office pod
barry's office furniture,480,0,1.21,MEDIUM,navigational,,office pod
office chair walmart,480,0,0.26,HIGH,transactional,,office pod
best office chair for back pain,390,28,2.35,HIGH,commercial,informational,office pod
winnipeg office furniture,390,0,4.54,HIGH,navigational,,office pod
eames office chair,390,0,1.45,HIGH,transactional,,office pod
jysk office chairs,390,0,1.26,HIGH,transactional,navigational,office pod
office space bill lumbergh,390,3,,LOW,informational,"navigational,commercial",office pod
meeting spaces,390,9,7.27,LOW,informational,"commercial,navigational",office pod
diy desk,390,0,0.75,MEDIUM,transactional,,office pod
blue prince office safe,390,0,,LOW,transactional,"navigational,informational",office pod
small office ideas,390,22,0.63,HIGH,informational,commercial,office pod
lumbergh office space,390,13,,LOW,navigational,,office pod
office desk staples,390,0,2,HIGH,transactional,,office pod
office furniture vancouver,390,0,6.42,HIGH,navigational,,office pod
black office chair,390,0,2.11,HIGH,transactional,,office pod
computer desk sale,390,0,0.66,HIGH,transactional,,office pod
office furniture winnipeg,390,0,4.54,HIGH,navigational,,office pod
staples,2240000,65,0.55,LOW,transactional,informational,filing cabinet
staples printing,90500,13,0.96,LOW,navigational,"transactional,commercial",filing cabinet
staples open,5400,8,1.5,LOW,informational,"transactional,navigational",filing cabinet
staples business cards,4400,0,1.66,MEDIUM,transactional,,filing cabinet
staples preferred,4400,0,1.71,LOW,navigational,,filing cabinet
nail file,4400,0,0.33,HIGH,transactional,,filing cabinet
staples flyer,2400,3,0.85,LOW,commercial,navigational,filing cabinet
line drawer,1900,22,0.54,LOW,transactional,,filing cabinet
whiteboard staples,1600,0,1.26,HIGH,transactional,,filing cabinet
business card print staples,1600,,1.68,MEDIUM,transactional,,filing cabinet
print staples,1600,0,0.75,MEDIUM,transactional,"commercial,navigational",filing cabinet
filing cabinet staples,1300,0,1.54,HIGH,transactional,,filing cabinet
laminating service staples,1300,0,0.63,LOW,commercial,transactional,filing cabinet
wooden letters,1300,3,0.44,HIGH,transactional,informational,filing cabinet
staples boxes,1300,0,1.99,HIGH,transactional,,filing cabinet
wood letters,1300,2,0.44,HIGH,informational,,filing cabinet
staples calendar,1300,0,0.51,HIGH,transactional,commercial,filing cabinet
staples binders,1300,0,0.65,HIGH,transactional,,filing cabinet
staples filing cabinet,1300,0,1.54,HIGH,transactional,,filing cabinet
staples printer paper,1300,0,0.17,HIGH,transactional,,filing cabinet
staples laminating service,1300,0,0.63,LOW,commercial,,filing cabinet
parquet file,1000,19,0.14,LOW,transactional,,filing cabinet
staples paper,1000,6,0.2,HIGH,transactional,,filing cabinet
staples laminating,1000,0,0.78,MEDIUM,transactional,commercial,filing cabinet
staples cardstock printing,1000,0,0.65,LOW,transactional,"navigational,commercial",filing cabinet
staples card printing,1000,0,1.18,MEDIUM,commercial,"transactional,navigational",filing cabinet
staples laminator,1000,0,1.08,HIGH,transactional,,filing cabinet
staples notebooks,1000,0,0.28,HIGH,transactional,,filing cabinet
staples tablets,880,0,0.25,HIGH,transactional,,filing cabinet
staples pens,880,0,2.02,HIGH,transactional,,filing cabinet
staples order,880,17,1.2,LOW,transactional,"navigational,commercial",filing cabinet
staples cardstock,880,0,0.22,HIGH,transactional,,filing cabinet
staples ink cartridges,720,0,0.77,HIGH,transactional,,filing cabinet
staples print order,720,0,3.26,LOW,transactional,"navigational,commercial",filing cabinet
2 inch binder,720,0,0.42,HIGH,transactional,,filing cabinet
staples booklet printing,720,0,3.23,HIGH,navigational,"transactional,commercial",filing cabinet
staples wrapping paper,720,0,0.14,HIGH,transactional,,filing cabinet
cabinet liners,720,2,0.51,HIGH,transactional,,filing cabinet
staples print and copy,720,18,,LOW,navigational,,filing cabinet
walmart notebooks,720,0,0.11,HIGH,transactional,,filing cabinet
walmart whiteboard,720,0,0.28,HIGH,transactional,,filing cabinet
staples cork board,720,0,1.18,HIGH,transactional,,filing cabinet
paper size in canada,720,3,0.11,LOW,informational,,filing cabinet
walmart white board,720,0,0.28,HIGH,transactional,,filing cabinet
staples notary,720,0,1.65,MEDIUM,navigational,,filing cabinet
walmart paper plates,590,0,0.13,HIGH,transactional,,filing cabinet
small notebook,590,3,5.11,HIGH,transactional,,filing cabinet
pencil case staples,590,0,0.17,HIGH,transactional,,filing cabinet
staples returns,590,13,,LOW,informational,navigational,filing cabinet
staples calendar printing,590,0,0.5,MEDIUM,commercial,"transactional,navigational",filing cabinet
walmart wrapping paper,590,14,0.25,HIGH,transactional,,filing cabinet
staples office supply,590,12,1.58,MEDIUM,navigational,transactional,filing cabinet
staples envelopes,590,0,2.01,HIGH,transactional,,filing cabinet
staples packaging,590,0,2.22,LOW,transactional,commercial,filing cabinet
scrapbooking supplies canada,590,9,0.86,HIGH,commercial,,filing cabinet
staples return,590,7,,LOW,informational,navigational,filing cabinet
pack of staples,590,0,2.22,LOW,transactional,,filing cabinet
paper plates walmart,590,0,0.13,HIGH,transactional,,filing cabinet
staples invitation printing,480,0,0.81,MEDIUM,navigational,transactional,filing cabinet
staples foam board printing,480,0,1.41,MEDIUM,transactional,commercial,filing cabinet
wooden pen,480,0,0.69,HIGH,transactional,,filing cabinet
staples bubble wrap,480,0,1.15,HIGH,transactional,,filing cabinet
staples foam board,480,0,0.69,HIGH,transactional,,filing cabinet
staples cardboard boxes,480,0,1.6,HIGH,transactional,,filing cabinet
staples photocopying,480,4,0.41,LOW,navigational,"informational,transactional",filing cabinet
staples postcard printing,480,0,1.98,MEDIUM,transactional,"commercial,navigational",filing cabinet
staples ink,480,0,1.18,HIGH,transactional,,filing cabinet
staples queens plate,480,0,0.75,LOW,transactional,navigational,filing cabinet
staples file boxes,480,0,0.4,HIGH,transactional,,filing cabinet
staples frames,480,0,0.61,HIGH,transactional,,filing cabinet
canadian office supplies,480,21,2.64,MEDIUM,commercial,"transactional,navigational",filing cabinet
pulp of wood,480,2,,LOW,informational,,filing cabinet
wood pencil,480,0,0.69,HIGH,transactional,,filing cabinet
staples custom calendars,480,0,1.52,MEDIUM,transactional,commercial,filing cabinet
parchment paper walmart,480,0,0.04,HIGH,transactional,,filing cabinet
wood files,480,0,0.32,HIGH,informational,transactional,filing cabinet
wooden pens,480,0,0.69,HIGH,transactional,,filing cabinet
metal business cards,480,0,2.07,HIGH,transactional,commercial,filing cabinet
staples custom calendar,480,0,1.52,MEDIUM,transactional,commercial,filing cabinet
contact paper for cabinets,480,0,0.33,HIGH,navigational,,filing cabinet
wooden pencil,480,0,0.69,HIGH,transactional,,filing cabinet
staples mouse pad,390,0,0.24,HIGH,transactional,,filing cabinet
small binder,390,0,0.42,HIGH,transactional,,filing cabinet
wood contact paper,390,0,0.31,HIGH,informational,"transactional,navigational",filing cabinet
self print staples,390,0,,LOW,transactional,,filing cabinet
staples clipboard,390,0,1.07,HIGH,transactional,,filing cabinet
staples binding,390,0,0.34,MEDIUM,transactional,"informational,commercial",filing cabinet
laminating sheets staples,390,0,1.2,HIGH,transactional,,filing cabinet
staples post it notes,390,0,0.61,HIGH,transactional,,filing cabinet
stationery canada,390,0,1.08,HIGH,commercial,navigational,filing cabinet
small whiteboard,390,0,0.61,HIGH,transactional,,filing cabinet
staples laminating sheets,390,0,1.2,HIGH,transactional,,filing cabinet
canada colouring pages,390,0,0.06,LOW,informational,,filing cabinet
colouring pages canada,390,11,0.06,LOW,informational,,filing cabinet
staples 50 st,320,0,,LOW,transactional,,filing cabinet
staples mechanical pencils,320,0,0.11,HIGH,transactional,,filing cabinet
custom wrapping paper canada,320,0,1.11,HIGH,commercial,"transactional,navigational",filing cabinet
metal bookmarks,320,0,0.71,HIGH,transactional,,filing cabinet
staples will kit,320,0,0.58,HIGH,navigational,"transactional,informational",filing cabinet
staples flyer printing,320,5,1.82,HIGH,navigational,commercial,filing cabinet
2 binder,320,0,1.21,HIGH,transactional,,filing cabinet
"2"" binder",320,0,1.21,HIGH,transactional,,filing cabinet
staples magnets,320,0,1.24,HIGH,transactional,,filing cabinet
staples same day business cards,320,0,1.92,MEDIUM,transactional,,filing cabinet
staples binding services,320,0,1.52,LOW,navigational,,filing cabinet
journal with lock,320,0,0.31,HIGH,transactional,informational,filing cabinet
custom stationery canada,320,0,1.82,HIGH,commercial,navigational,filing cabinet
staples photo paper,320,0,0.17,HIGH,transactional,navigational,filing cabinet
staples copy paper,320,0,0.19,HIGH,transactional,,filing cabinet
staples on clark,320,0,,LOW,navigational,transactional,filing cabinet
number 2 pencil,320,0,0.25,MEDIUM,transactional,,filing cabinet
"2"" binders",320,0,1.21,HIGH,transactional,,filing cabinet
walmart chalkboard,320,0,0.27,HIGH,transactional,,filing cabinet
2 binders,320,0,1.21,HIGH,transactional,,filing cabinet
wood marker,260,0,0.26,HIGH,transactional,,filing cabinet
staples dry erase markers,260,0,1.39,HIGH,transactional,,filing cabinet
small pencil case,260,0,0.29,HIGH,transactional,,filing cabinet
no 2 pencil,260,0,0.42,LOW,transactional,,filing cabinet
wood stamp,260,0,0.48,HIGH,transactional,,filing cabinet
wooden alphabet blocks,260,0,0.49,HIGH,transactional,,filing cabinet
plastic file folders,260,0,0.97,HIGH,transactional,,filing cabinet
staples ca flyers,260,13,0.4,LOW,navigational,"transactional,informational",filing cabinet
walmart paper,260,0,0.16,HIGH,transactional,,filing cabinet
packing paper canadian tire,260,0,0.9,HIGH,transactional,,filing cabinet
staples flyer this week,260,32,0.09,LOW,commercial,informational,filing cabinet
staples book binding,260,0,0.97,MEDIUM,transactional,"commercial,informational",filing cabinet
about staples,260,21,,LOW,navigational,informational,filing cabinet
staples pencils,260,0,0.17,HIGH,transactional,,filing cabinet
staples packing tape,260,0,0.88,HIGH,transactional,,filing cabinet
letter size hanging file folders,260,0,0.87,HIGH,informational,"transactional,commercial",filing cabinet
wood clipart,260,0,,LOW,transactional,informational,filing cabinet
paper from wood pulp,260,2,0.08,LOW,informational,,filing cabinet
staples desk pad,260,0,1,HIGH,transactional,,filing cabinet
staples fountain pen,260,0,0.3,HIGH,transactional,,filing cabinet
2 pencils,260,0,0.27,LOW,transactional,,filing cabinet
bic 4 color pen,260,0,0.9,HIGH,transactional,,filing cabinet
staples folders,260,0,0.51,HIGH,transactional,,filing cabinet
staples a4 paper,260,0,0.1,HIGH,transactional,,filing cabinet
cardstock paper staples,210,0,0.19,HIGH,transactional,,filing cabinet
staples brochure printing,210,0,3.95,HIGH,navigational,,filing cabinet
small prints,210,0,1.79,MEDIUM,transactional,,filing cabinet
staples planner,210,0,0.23,HIGH,transactional,,filing cabinet
staples square one,210,0,,LOW,navigational,transactional,filing cabinet
staples projector,210,0,0.7,HIGH,transactional,,filing cabinet
hand file,210,0,0.37,HIGH,transactional,informational,filing cabinet
can staples laminate things,210,0,,LOW,informational,,filing cabinet
staples ink pad,210,0,0.21,HIGH,transactional,,filing cabinet
staples scrapbook,210,0,0.24,HIGH,transactional,,filing cabinet
best small notebooks,210,10,0.64,HIGH,commercial,,filing cabinet
staples cardstock paper,210,0,0.19,HIGH,transactional,,filing cabinet
staples marker,210,0,2.77,HIGH,transactional,informational,filing cabinet
wood sanding paper,210,0,0.23,HIGH,transactional,informational,filing cabinet
small bulletin board,210,0,0.59,HIGH,transactional,"informational,commercial",filing cabinet
staples page protectors,210,0,0.52,HIGH,transactional,,filing cabinet
canadian paper bills,210,9,0.14,LOW,informational,,filing cabinet
staples carbon paper,210,0,0.11,HIGH,transactional,,filing cabinet
staples erasable pens,210,0,0.2,HIGH,transactional,,filing cabinet
staples markers,210,0,2.77,HIGH,transactional,,filing cabinet
pampers 4,210,0,0.27,HIGH,transactional,,filing cabinet
staples graph paper,210,0,0.16,HIGH,transactional,,filing cabinet
staples sharpies,210,0,0.38,HIGH,transactional,,filing cabinet
receipt book staples,210,0,0.24,HIGH,navigational,"informational,transactional",filing cabinet
pencils walmart,210,0,0.15,HIGH,transactional,,filing cabinet
sheet protectors staples,210,0,0.52,HIGH,transactional,,filing cabinet
large print staples,210,0,0.92,MEDIUM,transactional,commercial,filing cabinet
staples sheet protectors,210,0,0.52,HIGH,transactional,,filing cabinet
staples tablet,210,0,0.78,HIGH,transactional,,filing cabinet
staples booklets,210,0,2.31,MEDIUM,transactional,,filing cabinet
staples daily planner,210,0,0.27,HIGH,transactional,,filing cabinet
walmart pencils,210,0,0.15,HIGH,transactional,,filing cabinet
paper file,210,0,0.62,HIGH,transactional,informational,filing cabinet
2 page spread,210,0,,LOW,informational,,filing cabinet
scrapbook staples,210,0,0.24,HIGH,transactional,"commercial,informational",filing cabinet
pencils at walmart,210,0,0.15,HIGH,transactional,,filing cabinet
staples invoice book,210,0,0.28,HIGH,informational,"navigational,transactional",filing cabinet
staples 10 off,210,24,1.28,LOW,transactional,commercial,filing cabinet
abrasive paper for wood,210,0,0.23,HIGH,transactional,,filing cabinet
small sketchbook,170,0,0.24,HIGH,transactional,,filing cabinet
walmart post it notes,170,0,0.09,HIGH,informational,"transactional,commercial",filing cabinet
staples business card holder,170,0,0.22,HIGH,transactional,,filing cabinet
walmart sticky notes,170,0,0.09,HIGH,transactional,,filing cabinet
trace paper staples,170,0,0.5,HIGH,transactional,,filing cabinet
tracing paper staples,170,0,0.5,HIGH,informational,,filing cabinet
staples tracing paper,170,0,0.5,HIGH,transactional,,filing cabinet
staples tenth line,170,0,,LOW,navigational,informational,filing cabinet
staples print out,170,9,0.11,LOW,transactional,,filing cabinet
paper staples,170,0,0.18,HIGH,transactional,,filing cabinet
staples desk calendar,170,0,0.29,HIGH,transactional,,filing cabinet
contact paper canadian tire,170,14,0.41,HIGH,navigational,,filing cabinet
staples toner,170,0,1.16,HIGH,transactional,,filing cabinet
staples bristol board,170,0,0.3,HIGH,navigational,,filing cabinet
staples gel pens,170,0,2.19,HIGH,transactional,,filing cabinet
staples fax machine,170,0,1.55,MEDIUM,transactional,,filing cabinet
staples stationery,170,0,1.09,HIGH,transactional,"commercial,navigational",filing cabinet
walmart tissue paper,170,0,0.21,HIGH,transactional,,filing cabinet
staples planners,170,0,0.32,HIGH,transactional,"navigational,commercial",filing cabinet
ink pad walmart,170,0,0.04,HIGH,transactional,,filing cabinet
staples printing and binding,170,1,1.4,MEDIUM,navigational,,filing cabinet
walmart graph paper,170,0,0.1,HIGH,transactional,,filing cabinet
landing paper canada sample,170,3,6.64,LOW,informational,navigational,filing cabinet
office of the registrar,27100,47,1.31,LOW,navigational,,executive chair
tim cook ceo,22200,24,5.18,LOW,navigational,"informational,transactional",executive chair
governors general canada,14800,32,0.01,LOW,informational,,executive chair
governor general of canada,14800,33,0.01,LOW,informational,,executive chair
american ambassador to canada,12100,27,,LOW,informational,,executive chair
us ambassador to canada,12100,15,,LOW,informational,,executive chair
united states ambassador to canada,12100,18,,LOW,informational,,executive chair
ambassador to canada,12100,13,,LOW,informational,navigational,executive chair
canada revenue agency candidate profile,6600,11,,LOW,navigational,,executive chair
executive,6600,32,,LOW,informational,,executive chair
ceo mcdonald's,5400,24,,LOW,informational,,executive chair
oakville executive,5400,0,0.73,LOW,navigational,,executive chair
ceo of mcdonald's,5400,28,,LOW,informational,,executive chair
who is governor general of canada,3600,32,,LOW,informational,,executive chair
who is general governor of canada,3600,39,,LOW,informational,,executive chair
who is the governor of canada,3600,32,,LOW,informational,,executive chair
minister of finance canada,2900,30,19.16,LOW,informational,,executive chair
speaker of the house of commons canada,2900,14,,LOW,informational,,executive chair
ceb executive board,2900,15,,LOW,navigational,informational,executive chair
minister of finance of canada,2900,27,19.16,LOW,informational,,executive chair
mayor of vancouver canada,2900,23,,LOW,informational,,executive chair
ceo of ford,2400,38,,LOW,informational,,executive chair
ford motor company ceo,2400,10,,LOW,informational,,executive chair
blackstone group ceo,2400,43,,LOW,informational,navigational,executive chair
ford ceo,2400,11,,LOW,informational,,executive chair
chief executive officer,2400,19,,LOW,informational,,executive chair
head of the state of canada,2400,39,,LOW,informational,,executive chair
ryan howard office,2400,1,,LOW,navigational,,executive chair
public safety minister canada,2400,30,,LOW,informational,,executive chair
starbucks ceo,2400,26,,LOW,informational,,executive chair
ford motors ceo,2400,28,,LOW,informational,,executive chair
office of general registrar,2400,21,,LOW,navigational,,executive chair
ceo of ford motor company,2400,17,,LOW,informational,,executive chair
blackstone ceo,2400,43,,LOW,informational,navigational,executive chair
ceo blackstone,2400,43,,LOW,informational,navigational,executive chair
ceo ford,2400,17,,LOW,informational,,executive chair
ford company ceo,2400,17,,LOW,informational,,executive chair
ceo of oracle,1900,23,,LOW,informational,,executive chair
oracle ceo,1900,36,,LOW,informational,navigational,executive chair
ceo of td bank,1900,27,,LOW,navigational,informational,executive chair
office of the public guardian and trustee,1900,21,5.43,LOW,navigational,,executive chair
mcdonald's ceo,1900,25,,LOW,informational,,executive chair
ceo appointments,1900,5,,LOW,navigational,informational,executive chair
oracle corp ceo,1900,28,,LOW,informational,,executive chair
international olympic committee chairman,1900,39,,LOW,informational,,executive chair
oracle corporation ceo,1900,26,,LOW,informational,,executive chair
ceo td bank,1900,14,,LOW,navigational,,executive chair
ceo appointment,1900,0,,LOW,informational,,executive chair
ceo of td,1900,22,,LOW,informational,navigational,executive chair
ceo td,1900,27,,LOW,informational,navigational,executive chair
appoints ceo,1900,0,,LOW,informational,"navigational,commercial",executive chair
ceo nestle,1600,26,,LOW,informational,,executive chair
ceo of nestlé,1600,21,,LOW,informational,,executive chair
chief executive officer of google,1600,51,,LOW,informational,,executive chair
nestlé ceo,1600,31,,LOW,informational,,executive chair
directors chair,1600,0,0.87,HIGH,informational,,executive chair
auditor general canada,1600,27,,LOW,navigational,informational,executive chair
attorney general of canada,1600,26,,LOW,informational,,executive chair
fed chair,1600,58,0.22,MEDIUM,transactional,informational,executive chair
porter airlines ceo,1600,0,,LOW,navigational,,executive chair
herman miller aeron office chair,1600,12,2.15,LOW,navigational,transactional,executive chair
rbc ceo,1600,9,,LOW,informational,navigational,executive chair
district commissioner meaning,1600,0,,LOW,informational,,executive chair
nestle ceo,1600,24,,LOW,informational,,executive chair
canadian ambassador to the united states,1600,22,,LOW,informational,,executive chair
federal reserve bank chairman,1300,53,,LOW,informational,,executive chair
chair of federal reserve,1300,63,,LOW,informational,,executive chair
ceo westjet,1300,9,17.88,LOW,navigational,,executive chair
federal reserve chairman,1300,36,,LOW,informational,,executive chair
federal reserve chair,1300,31,,LOW,informational,,executive chair
ceo disney,1300,24,,LOW,informational,,executive chair
office us characters,1300,9,,LOW,informational,,executive chair
ceo of ttc,1300,0,,LOW,navigational,informational,executive chair
secretary of state canada,1300,24,,LOW,informational,navigational,executive chair
westjet ceo,1300,5,17.88,LOW,navigational,,executive chair
ceo of westjet,1300,5,17.88,LOW,navigational,,executive chair
canada secretary of state,1300,24,,LOW,informational,navigational,executive chair
ceo of disney,1300,31,,LOW,informational,,executive chair
ceo of scotia bank,1300,9,,LOW,informational,,executive chair
governor of the bank of canada,1300,52,,LOW,informational,,executive chair
ceo for disney,1300,32,,LOW,informational,,executive chair
governor of bank of canada,1300,53,,LOW,informational,,executive chair
secretary of state for canada,1300,30,,LOW,informational,navigational,executive chair
bank of canada governors,1300,21,,LOW,informational,navigational,executive chair
disney ceo,1300,39,,LOW,informational,,executive chair
canadian secretary of state,1300,31,,LOW,informational,,executive chair
scotiabank ceo,1300,6,,LOW,navigational,informational,executive chair
ttc ceo,1300,1,,LOW,informational,,executive chair
privy council office,1300,24,,LOW,navigational,,executive chair
bank of canada governor,1300,35,,LOW,informational,navigational,executive chair
federal reserve board chairman,1300,58,,LOW,informational,,executive chair
chair of the federal reserve,1300,33,,LOW,informational,,executive chair
executive director,1300,2,0.32,LOW,informational,,executive chair
ceo of rogers,1300,7,6.3,LOW,informational,navigational,executive chair
secretary of state in canada,1300,24,,LOW,informational,navigational,executive chair
federal reserve system chairman,1300,58,,LOW,informational,,executive chair
chairman of the federal reserve,1300,58,,LOW,informational,,executive chair
chair of the fed,1300,57,,LOW,informational,,executive chair
secretary of state of canada,1300,51,,LOW,navigational,informational,executive chair
loblaws ceo,1000,12,,LOW,informational,,executive chair
new federal reserve chairman,1000,14,,LOW,informational,,executive chair
ceo boeing,1000,42,,LOW,informational,,executive chair
ceo of walmart,1000,39,,LOW,informational,,executive chair
new fed chairman,1000,28,,LOW,informational,,executive chair
new federal reserve chair,1000,27,,LOW,informational,,executive chair
campbell's ceo,1000,25,,LOW,navigational,informational,executive chair
minister of public safety of canada,1000,15,,LOW,informational,,executive chair
new fed chair,1000,18,,LOW,informational,,executive chair
executive branch,1000,36,,LOW,informational,,executive chair
boeing company ceo,1000,39,,LOW,informational,,executive chair
loblaw ceo,1000,14,,LOW,informational,navigational,executive chair
ceo loblaws,1000,9,,LOW,informational,navigational,executive chair
ceo for walmart,1000,42,,LOW,informational,,executive chair
ceo walmart,1000,35,,LOW,informational,,executive chair
a&w ceo,1000,0,,LOW,informational,navigational,executive chair
chairman mills,1000,12,3.11,LOW,informational,navigational,executive chair
ceo of loblaws,1000,12,,LOW,informational,,executive chair
ceo of boeing,1000,39,,LOW,informational,,executive chair
ceo of jp morgan,880,52,,LOW,informational,navigational,executive chair
cibc ceo,880,10,,LOW,informational,navigational,executive chair
ceo tim hortons,880,3,,LOW,informational,,executive chair
burger king ceo,880,10,,LOW,informational,,executive chair
jp morgan chase ceo,880,55,,LOW,navigational,informational,executive chair
executive office chair,880,0,2.52,HIGH,transactional,,executive chair
pm office,880,47,,LOW,navigational,,executive chair
mayor of canada,880,14,0.66,HIGH,informational,,executive chair
tim hortons ceo,880,3,,LOW,informational,,executive chair
executive membership,880,6,0.05,LOW,navigational,,executive chair
ceo of burger king,880,6,,LOW,informational,,executive chair
office of the united states trade representative,880,46,,LOW,navigational,,executive chair
minister of public safety and emergency preparedness canada,880,15,,LOW,informational,,executive chair
dsv ceo ca,880,5,,LOW,navigational,,executive chair
prime minister's office,880,42,,LOW,navigational,informational,executive chair
j p morgan ceo,880,55,,LOW,navigational,informational,executive chair
jpmorgan ceo,880,51,,LOW,informational,,executive chair
chancellor meaning,880,5,,LOW,informational,,executive chair
tim horton ceo,880,9,,LOW,informational,,executive chair
board chairman,880,5,,LOW,informational,,executive chair
ceo ca wm,880,4,,LOW,navigational,,executive chair
parliamentary budget officer canada,880,13,,LOW,navigational,,executive chair
minister of public safety canada,880,24,,LOW,informational,,executive chair
ceo jp morgan,880,55,,LOW,informational,navigational,executive chair
jp morgan ceo,880,51,,LOW,informational,navigational,executive chair
ceo of tim hortons,880,8,,LOW,informational,,executive chair
ceo united healthcare,720,37,,LOW,navigational,,executive chair
chief of justice canada,720,0,,LOW,informational,,executive chair
doug ford office,720,11,,LOW,navigational,,executive chair
federal government return to-office,720,7,,LOW,informational,,executive chair
enron ceo jeffrey skilling,720,15,,LOW,informational,,executive chair
crc chair,720,20,5.23,LOW,informational,,executive chair
ceo of canada post,720,12,,LOW,navigational,,executive chair
current governor general of canada,720,32,,LOW,informational,,executive chair
rogers office of the president,720,6,2.41,LOW,navigational,,executive chair
federal communications commission chairman,720,46,,LOW,informational,,executive chair
chief financial officer of amazon,720,4,,LOW,informational,,executive chair
ceo of nintendo,720,19,,LOW,informational,,executive chair
executive director jobs,720,0,2.94,LOW,informational,,executive chair
ceo of bank of montreal,720,12,,LOW,informational,navigational,executive chair
doug ford's office,720,22,,LOW,navigational,informational,executive chair
united healthcare ceo,720,37,,LOW,navigational,informational,executive chair
minister for home affairs,720,44,,LOW,informational,,executive chair
ceo bmo,720,4,,LOW,informational,navigational,executive chair
present governor general of canada,720,25,,LOW,informational,,executive chair
current governor general canada,720,39,,LOW,informational,,executive chair
bank of montreal ceo,720,12,,LOW,informational,navigational,executive chair
ceo bank of montreal,720,11,,LOW,navigational,informational,executive chair
fcc chair,720,44,,LOW,informational,,executive chair
united health care ceo,720,37,,LOW,navigational,informational,executive chair
chief justice canada,720,5,,LOW,informational,,executive chair
bmo ceo,720,6,,LOW,navigational,informational,executive chair
home affairs minister,720,48,,LOW,informational,,executive chair
fcc chairman,720,44,,LOW,informational,navigational,executive chair
minister of home affairs,720,44,,LOW,informational,,executive chair
chipotle ceo,590,26,,LOW,informational,,executive chair
home secretary of uk,590,39,,LOW,informational,,executive chair
ceo of indigo,590,17,,LOW,informational,"navigational,commercial",executive chair
home secretary uk,590,46,,LOW,informational,navigational,executive chair
city mayor meaning,590,12,,LOW,informational,,executive chair
governor of canada,590,24,,LOW,informational,,executive chair
western office of the registrar,590,54,,LOW,navigational,,executive chair
lieutenant governor of canada,590,2,,LOW,informational,navigational,executive chair
bill mcdermott sap ceo,590,12,,LOW,informational,,executive chair
office of the registrar mun,590,0,,LOW,navigational,,executive chair
ceo of popeyes,590,10,,LOW,informational,,executive chair
enbridge ceo,590,0,,LOW,informational,,executive chair
ceo of vanguard,590,10,,LOW,navigational,informational,executive chair
lieutenant governor general of canada,590,36,,LOW,navigational,,executive chair
mayor of la,590,38,,LOW,informational,navigational,executive chair
ceo ca wgx,590,0,,LOW,navigational,,executive chair
uk home secretary,590,46,,LOW,informational,navigational,executive chair
ceo vanguard,590,8,,LOW,navigational,informational,executive chair
ceo enbridge,590,0,,LOW,informational,,executive chair
ceo of indigo airlines,590,23,,LOW,informational,navigational,executive chair
lieutenant governor general canada,590,3,,LOW,navigational,informational,executive chair
ceo of chipotle,590,26,,LOW,informational,,executive chair
indigo airlines ceo,590,17,,LOW,navigational,informational,executive chair
britain home secretary,590,39,,LOW,informational,,executive chair
member of the house of commons of canada,590,59,,LOW,informational,,executive chair
ceo tires,590,0,0.67,LOW,navigational,commercial,executive chair
